title,link,description
A.I. Is Changing How Silicon Valley Builds Start-Ups,https://www.nytimes.com/2025/02/20/technology/ai-silicon-valley-start-ups.html,Tech start-ups typically raised huge sums to hire armies of workers and grow fast. Now artificial intelligence tools are making workers more productive and spurring tales of â€œtiny teamâ€ success.
"With Truth Social, Trump Has Official Mouthpiece and a Channel for Revenue",https://www.nytimes.com/2025/02/19/us/politics/truth-social-trump-media.html,"The presidentâ€™s company, Trump Media & Technology Group, represents a clear mingling of his official duties and his business interests."
A.I. Accelerates in Paris + Can A.I. Fix Your Love Life?,https://www.nytimes.com/2025/02/14/podcasts/hardfork-ai-dating-apps.html,Itâ€™s a Valentineâ€™s Day Special!
TikTok Returns to Apple and Google App Stores,https://www.nytimes.com/2025/02/13/technology/tiktok-apple-google-app-stores.html,The popular social media app was removed to comply with a new law that banned it in the United States. President Trump has paused enforcement of the ban.
Chinese Companiesâ€™ New Tactic to Stop Damaging Research: Legal Threats,https://www.nytimes.com/2025/02/11/technology/chinese-company-legal-threats-researchers.html,"Think tanks and universities have helped expose problematic Chinese business practices. Now, those businesses are accusing them of defamation."
"Her Discovery Wasnâ€™t Alien Life, but Science Has Never Been the Same",https://www.nytimes.com/2025/02/11/science/arseniclife-felisa-wolfe-simon-retraction.html,"The internet erupted in controversy over Felisa Wolfe-Simon and colleaguesâ€™ claim of a microbe thriving on arsenic. Nearly 15 years later, sheâ€™s pursuing new research on the boundaries of life."
Early Crypto Traders Had Speedy Profit on Trump Coin as Others Suffered Losses,https://www.nytimes.com/2025/02/09/us/politics/trump-crypto-memecoin.html,Some traders made tens of millions off a new cryptocurrency launched by President Trump and his sons. Many others lost out.
The Musketeers Take Washington + Spotifyâ€™s Ghost Music + Tool Time,https://www.nytimes.com/2025/02/07/podcasts/hardfork-doge-spotify-tools.html,â€œThe way to control government is to control the computersâ€
NASA Gave Up a Ride to the Moon. This Startupâ€™s Rover Took It.,https://www.nytimes.com/2025/02/05/science/nasa-moon-rover-astrolab-astrobotic.html,"After the space agency canceled its VIPER rover, an empty space was available on a private spacecraft that will still head to the lunar surface."
Is Waymo Friend or Foe to Uber?,https://www.nytimes.com/2025/02/05/technology/waymo-uber-partnership.html,The fast expansion of Waymoâ€™s driverless car service is growing competition for Uber. The companies are also partners.
DeepSeek Deep Dive + Hands-On With Operator + Hot Mess Express!,https://www.nytimes.com/2025/01/31/podcasts/hardfork-deepseek-china.html,â€œDeepSeek is a really odd duck.â€
The Tech Arsenal That Could Power Trumpâ€™s Immigration Crackdown,https://www.nytimes.com/2025/01/25/technology/trump-immigration-deportation-surveillance.html,Border enforcement agencies have spent billions assembling surveillance tools to track and find people. These could be critical in President Trumpâ€™s immigration agenda.
Why Trump Picked a Science Adviser Who Isnâ€™t a Scientist,https://www.nytimes.com/2025/01/29/science/trump-science-advisor-michael-kratsios.html,"Michael Kratsios, who served in the White House and Defense Department in the first Trump administration, is a policy specialist on artificial intelligence."
Techâ€™s TikTok Dilemma: Follow the Law or President Trump?,https://www.nytimes.com/2025/01/24/technology/tiktok-ban-trump-amazon-apple-google.html,"The federal law banning TikTok has revealed a major schism among American tech companies: Some are willing to flout the law â€” and some, including Apple and Google, are not."
Quantum TikTok + Memecoin Mania + Chris Hayes on the Attention Wars,https://www.nytimes.com/2025/01/24/podcasts/hardfork-tiktok-memecoin-hayes.html,â€œWe are starting to see how Silicon Valley wants to do business during the Trump administration.â€
"In TikTok Theater, All the Worldâ€™s an Audience",https://www.nytimes.com/2025/01/23/theater/tiktok-theater-famehungry-louise-orwin.html,"â€œFamehungry,â€ a show thatâ€™s performed simultaneously for in-person and online crowds, comes to New York in the wake of the appâ€™s brief ban in the United States."
Trump Is Already Making America Weaker and More Vulnerable,https://www.nytimes.com/2025/01/22/opinion/trump-tiktok-who.html,"Favoring TikTok over national security, releasing rioters, undermining global health efforts â€” these actions put all of us at risk."
What Trumpâ€™s Pledge to Plant the U.S. Flag on Mars Really Means,https://www.nytimes.com/2025/01/21/science/trump-mars-flag.html,"The presidentâ€™s Inaugural Address linked landing on the Red Planet with Manifest Destiny, but left many of the specifics unclear."
"CapCut, a Video-Editing App From ByteDance, Returns for U.S. Users",https://www.nytimes.com/2025/01/21/technology/capcut-tiktok-ban-bytedance.html,"Other apps from the company behind TikTok, including CapCut and Lemon8, went dark this weekend before flickering back. The federal law banning TikTok also applies to them."
Trump Signs Executive Order in Attempt to Stall TikTok Ban,https://www.nytimes.com/2025/01/20/technology/trump-tiktok-ban-delay-executive-order.html,"Shortly after taking office Monday, the president issued the order to delay the appâ€™s ban for 75 days. The law went into effect on Sunday."
"TikTok, RedNote and the Crushed Promise of the Chinese Internet",https://www.nytimes.com/2025/01/20/business/tiktok-red-note-china-internet.html,"Chinaâ€™s internet companies and their hard-working, resourceful professionals make world-class products, in spite of censorship and malign neglect by Beijing."
"TikTok Butters Up Trump, Again and Again",https://www.nytimes.com/2025/01/19/technology/tiktok-trump-messages-ban.html,"The app has repeatedly name checked the president-elect in pop-up messages and statements, as it navigates a ban in the United States unless it is sold to a non-Chinese owner."
"Instagram Debuts New Video-Editing App, as TikTok Deals With a Ban",https://www.nytimes.com/2025/01/19/technology/instagram-video-app-tiktok-ban.html,"Instagram on Sunday rolled out Edits, a video-editing product that appeared similar to CapCut, which is owned by TikTokâ€™s parent company, ByteDance."
What We Know About the TikTok Ban,https://www.nytimes.com/article/what-we-know-tiktok.html,"The popular video app went dark in the United States late Saturday and then came back around noon on Sunday, even as a law banning it took effect."
Does Banning TikTok solve the National Security Issue?,https://www.nytimes.com/video/technology/100000009926133/does-banning-tiktok-solve-the-national-security-issue.html,"TikTok is set to be blocked in the U.S. after the Supreme Court upheld a law that effectively bans the app. TikTok, a Chinese-owned social media platform, has drawn scrutiny from lawmakers for its national security risks and its ties to China. Sapna Maheshwari, a business reporter for The New York Times, examines the security concerns and the reactions to the news."
TikTok Goes Dark in the U.S.,https://www.nytimes.com/2025/01/18/technology/tiktok-ban.html,The popular video app stopped working shortly before a federal law barring U.S. companies from hosting or distributing TikTok was set to take effect on Sunday.
What if No One Misses TikTok?,https://www.nytimes.com/2025/01/18/technology/what-if-no-one-misses-tiktok.html,TikTokâ€™s cultural footprint in America is huge. Why is its disappearance being met with a shrug?
Biden and Trump Weigh In as TikTok Threatens to â€˜Go Darkâ€™ on Sunday,https://www.nytimes.com/2025/01/17/technology/17tiktok-goes-dark-sunday-apple-google.html,"The Chinese-owned company said it would cut off its services unless the U.S. assures Apple, Google and other companies that they would not be punished for hosting and distributing TikTok."
"TikTok Evaded a Ban Again and Again, Until Now",https://www.nytimes.com/2025/01/17/technology/tiktok-ban-sale-supreme-court.html,"After a decisive loss at the Supreme Court, the app is set to be blocked in the U.S. starting Sunday, ending its streak of Houdini-like escapes."
"U.S. Ban of TikTok Is Set to Deal a Major Blow to ByteDance, Its Chinese Owner",https://www.nytimes.com/2025/01/17/technology/tiktok-ban-bytedance.html,"While TikTok remains hugely popular in Brazil, Indonesia and other markets, its 170 million users in the United States are its most valuable."
"Goodbye TikTok, Ni Hao RedNote? + A.I.â€™s Environmental Impact + Metaâ€™s Masculine Energy",https://www.nytimes.com/2025/01/17/podcasts/hardfork-tiktok-rednote-environment.html,â€œThis is truly one of the funniest and most unexpected stories of the young year so far.â€
TikTok Makes Last-Minute Push as Supreme Court Is Poised to Rule on Ban,https://www.nytimes.com/2025/01/17/technology/tiktok-ban-lobbying-washington.html,"With the court signaling it will release a decision on Friday, lobbyists for the app pushed lawmakers to shift course."
Instagram and YouTube Prepare to Benefit From a TikTok Ban,https://www.nytimes.com/2025/01/17/technology/instagram-youtube-tiktok-ban.html,"Metaâ€™s Instagram and Googleâ€™s YouTube are getting ready to welcome TikTok users, as the Supreme Court upheld a law that effectively bans the Chinese-owned app from the United States."
"For TikTok Refugees, a Wry Welcome on a Chinese App",https://www.nytimes.com/2025/01/16/arts/tiktok-red-note-china.html,"In their mass migration to the Chinese app RedNote, social media users make a gleeful mockery of the American government."
Trump Is Said to Consider Executive Order to Circumvent TikTok Ban,https://www.nytimes.com/2025/01/16/us/politics/trump-tiktok-executive-order.html,The move is under discussion as the Chinese-owned app faces a Sunday deadline to find a new buyer or shut down in the United States.
TikTok C.E.O. Plans to Attend Trump Inauguration,https://www.nytimes.com/2025/01/15/us/politics/tiktok-ceo-trump-inauguration.html,Shou Chew will join tech moguls like Mark Zuckerberg and Elon Musk at President-elect Donald J. Trumpâ€™s inauguration as the fate of the app hangs in the balance.
"â€˜Red Note,â€™ a Chinese App, Is Dominating Downloads, Thanks to TikTok Users",https://www.nytimes.com/2025/01/14/business/tiktok-rednote-xiaohongshu-app.html,"To show how little they care about TikTokâ€™s ties to Beijing, people in the United States are downloading one of Chinaâ€™s most popular apps."
4 Takeaways From the Arguments Before the Supreme Court in the TikTok Case,https://www.nytimes.com/2025/01/10/us/politics/takeaways-tiktok-supreme-court.html,"The justices, who asked tough questions of both sides, showed skepticism toward arguments by lawyers for TikTok and its users."
Meta Goes MAGA Mode + a Big Month in A.I. + HatGPT,https://www.nytimes.com/2025/01/10/podcasts/hardfork-meta-zuck-o3.html,â€œI think this set of changes that the company announced this week are the most important series of policy changes that they have made in the past five years.â€
"If TikTok Is Banned, Can I Still Use It?",https://www.nytimes.com/2025/01/10/technology/tiktok-ban-app-users.html,The social media app is likely to disappear right away from the app stores of Google and Apple. But itâ€™s unclear if users will completely lose access.
Supreme Court Seems Poised to Uphold Law That Could Ban TikTok,https://www.nytimes.com/2025/01/10/us/politics/supreme-court-tiktok-ban-law.html,"The justices are expected to rule quickly in the case, which pits national security concerns about China against the First Amendmentâ€™s protection of free speech."
TikTok Case Before Supreme Court Pits National Security Against Free Speech,https://www.nytimes.com/2025/01/09/us/politics/tiktok-supreme-court-national-security-free-speech.html,"The court, which hears arguments on Friday in a challenge to a law banning the app, has issued varying rulings when those two interests clashed."
TikTok Is Facing Legal Backlash Around the World,https://www.nytimes.com/2025/01/09/technology/tiktok-ban-global-legal-battles.html,"TikTok is challenging a possible ban or forced sale to new owners in the United States, but has for several years been waging other fights in at least 20 countries."
TikTok and Government Clash in Last Round of Supreme Court Briefs,https://www.nytimes.com/2025/01/03/us/politics/tiktok-ban-supreme-court.html,"The briefs, filed a week before oral arguments, offered sharply differing accounts of Chinaâ€™s influence over the site and the role of the First Amendment."
Treasury Dept. Hits Chinese Tech Company With Sanctions After Breach,https://www.nytimes.com/2025/01/03/us/politics/treasury-chinese-sanctions.html,The agency imposed penalties on a company it blamed for supporting the Chinese hacking group Flax Typhoon in a 2022-23 infiltration.
Our 2025 Tech Predictions and Resolutions + We Answer Your Questionsâ€‹â€‹,https://www.nytimes.com/2025/01/03/podcasts/hardfork-predictions-resolutions.html,"Next year is going to be different: good and bad, but just different."
"Big Rockets, a Big Telescope and Big Changes in Space Await in 2025",https://www.nytimes.com/2025/01/01/science/space-astronomy-nasa.html,Here are some key events to look forward to in space and astronomy in the year ahead.
How Donald Trump Went From Backing a TikTok Ban to Backing Off,https://www.nytimes.com/2024/12/28/us/politics/trump-tik-tok-ban.html,"In 2020, he moved to ban the Chinese-owned app. Now, he is opposing the Biden administrationâ€™s effort to do just that."
The Wirecutter Show: Kitchen Gear That Lasts a Lifetime (or Extremely Close),https://www.nytimes.com/2024/12/27/podcasts/hardfork-wirecutter-kitchenware.html,"Quality kitchen gear can last a lifetime â€” but not every pot, pan or knife is made to last."
The Men and Women Swirling Around Elon Musk,https://www.nytimes.com/interactive/2024/12/23/business/elon-musk-trump-family-friends-backers.html,"A look at the people who influence the worldâ€™s richest man, and those who stand to gain from their association with him now."
How Hallucinatory A.I. Helps Science Dream Up Big Breakthroughs,https://www.nytimes.com/2024/12/23/science/ai-hallucinations-science.html,"Hallucinations, a bane of popular A.I. programs, turn out to be a boon for venturesome scientists eager to push back the frontiers of human knowledge."
OpenAI Unveils New A.I. That Can â€˜Reasonâ€™ Through Math and Science Problems,https://www.nytimes.com/2024/12/20/technology/openai-new-ai-math-science.html,"The artificial intelligence start-up said the new system, OpenAI o3, outperformed leading A.I. technologies on tests that rate skills in math, science, coding and logic."
Is Amazonâ€™s Drone Delivery Finally Ready for Prime Time?,https://www.nytimes.com/2024/12/20/podcasts/hardfork-amazon-drone-delivery.html,We flew to Arizona to test the recently debuted service ourselves.
Elon Musk and SpaceX Face Federal Reviews After Violations of Security Reporting Rules,https://www.nytimes.com/2024/12/17/technology/elon-musk-spacex-national-security-reporting.html,"Federal agencies have opened at least three reviews into whether the company and its leader complied with disclosure protocols intended to protect state secrets, people with knowledge of the matter said."
Jeff Bezos Prepares to Close the Gap in His Space Race With Elon Musk,https://www.nytimes.com/2024/12/17/technology/jeff-bezos-blue-origin-elon-musk.html,"A new rocket from Mr. Bezosâ€™ company Blue Origin and a satellite system from Amazon could heat up competition with SpaceX, owned by Mr. Musk."
TikTok Asks Supreme Court to Block Law Banning Its U.S. Operations,https://www.nytimes.com/2024/12/16/us/politics/tiktok-ban-supreme-court-first-amendment.html,The company and its Chinese parent invoked the First Amendment in urging the justices to step in before a Jan. 19 deadline to sell or be shut down.
A Ride-Hailing Start-Up in Washington Tries to â€˜Out-Uber Uberâ€™,https://www.nytimes.com/2024/12/16/technology/empower-ride-hailing-washington-dc.html,"A company called Empower is trying to take on Uber, Lyft and local regulators as it piles up fines and draws new passengers to its service."
"TikTokâ€™s Last Stand, Googleâ€™s Quantum Breakthrough and the Cult of Claude",https://www.nytimes.com/2024/12/13/podcasts/hardfork-tiktok-quantum-claude.html,"â€œThe president was given a very clear and easy opportunity to say, â€˜Yes, I am going to save TikTok,â€™ and he absolutely did not say that.â€"
How U.S. Firms Battled a Government Crackdown to Keep Tech Sales to China,https://www.nytimes.com/2024/12/12/us/politics/tech-sales-china-huawei.html,An intense struggle has unfolded in Washington between companies and officials over where to draw the line on selling technology to China.
China Opens Investigation Into Nvidia Over Potential Antitrust Violations,https://www.nytimes.com/2024/12/09/technology/china-nvidia-investigation-antitrust-ai.html,The move by Chinese regulators came a week after the Biden administration expanded curbs on the sale of advanced U.S. technology to China.
Federal Tech Workers Push Back Against Muskâ€™s Efforts,https://www.nytimes.com/2025/02/20/us/politics/elon-musk-federal-tech-workers.html,An employee at the Technology Transformation Services told colleagues that he had resigned because he was asked to grant a Trump appointee access to a database used to text the public.
Judge Extends Block on N.I.H. Medical Research Cuts,https://www.nytimes.com/2025/02/21/us/politics/judge-nih-medical-research-cuts-universities.html,A federal judge in Massachusetts indicated she would move quickly to consider a more lasting injunction after hearing a laundry list of potential adverse effects of the Trump administration move to cut billions in funding.
Accessibility Initiatives Are Taking a Hit Across the Sciences,https://www.nytimes.com/2025/02/22/science/trump-accessibility-research.html,Confusion has ensued about the future of programs and research supporting people with disabilities as a result of President Trumpâ€™s executive order.
Trump Urged to Halt Firings at the F.A.A.,https://www.nytimes.com/2025/02/19/us/politics/trump-firings-faa.html,"After a string of deadly plane crashes, lawmakers and union members are urging the president to protect the transportation department from further personnel cuts."
Justice Dept. to Drop Discrimination Case Against Elon Muskâ€™s SpaceX,https://www.nytimes.com/2025/02/20/us/politics/spacex-elon-musk-discrimination-doj.html,"The Justice Department had sued SpaceX in 2023, accusing the company of violating federal law by refusing to hire refugees and people granted asylum in the United States."
A Tale of Two Cost-Cutters,https://www.nytimes.com/2025/02/22/business/dealbook/elon-musk-jack-welch-cuts.html,"Elon Muskâ€™s hyperfocus on the bottom line has made him influential in Washington and Silicon Valley. How does that compare with the last famous cost-cutter, Jack Welch?"
"Large Fire Erupts at Industrial Complex in Pennsylvania, Closing Schools",https://www.nytimes.com/2025/02/18/us/sps-technologies-fire-pennsylvania.html,"The building was evacuated and nobody was injured, the police said, but heavy smoke and the possibility of burning chemicals led officials to close local schools."
